GEN,BEZ,EWZ,AdmUnitId,Region_Prefix,Region
Oberallgäu,Landkreis,156008,9780,LK ,LK Oberallgäu
Regionalverband Saarbrücken,Landkreis,328714,10041,LK ,LK Regionalverband Saarbrücken
Merzig-Wadern,Landkreis,103243,10042,LK ,LK Merzig-Wadern
Neunkirchen,Landkreis,131408,10043,LK ,LK Neunkirchen
Saarlouis,Landkreis,194319,10044,LK ,LK Saarlouis
Saarpfalz-Kreis,Landkreis,142196,10045,LK ,LK Saarpfalz-Kreis
St. Wendel,Landkreis,87007,10046,LK ,LK St. Wendel
Brandenburg an der Havel,Kreisfreie Stadt,72184,12051,SK ,SK Brandenburg an der Havel
Cottbus,Kreisfreie Stadt,99678,12052,SK ,SK Cottbus
Frankfurt (Oder),Kreisfreie Stadt,57751,12053,SK ,SK Frankfurt (Oder)
Potsdam,Kreisfreie Stadt,180334,12054,SK ,SK Potsdam
Barnim,Landkreis,185244,12060,LK ,LK Barnim
Dahme-Spreewald,Landkreis,170791,12061,LK ,LK Dahme-Spreewald
Elbe-Elster,Landkreis,101827,12062,LK ,LK Elbe-Elster
Havelland,Landkreis,162996,12063,LK ,LK Havelland
Märkisch-Oderland,Landkreis,195751,12064,LK ,LK Märkisch-Oderland
Oberhavel,Landkreis,212914,12065,LK ,LK Oberhavel
Oberspreewald-Lausitz,Landkreis,109371,12066,LK ,LK Oberspreewald-Lausitz
Oder-Spree,Landkreis,178803,12067,LK ,LK Oder-Spree
Ostprignitz-Ruppin,Landkreis,98861,12068,LK ,LK Ostprignitz-Ruppin
Potsdam-Mittelmark,Landkreis,216566,12069,LK ,LK Potsdam-Mittelmark
Prignitz,Landkreis,76158,12070,LK ,LK Prignitz
Spree-Neiße,Landkreis,113720,12071,LK ,LK Spree-Neiße
Teltow-Fläming,Landkreis,169997,12072,LK ,LK Teltow-Fläming
Uckermark,Landkreis,118947,12073,LK ,LK Uckermark
Rostock,Kreisfreie Stadt,209191,13003,SK ,SK Rostock
Schwerin,Kreisfreie Stadt,95653,13004,SK ,SK Schwerin
Mecklenburgische Seenplatte,Landkreis,258074,13071,LK ,LK Mecklenburgische Seenplatte
Rostock,Landkreis,215794,13072,LK ,LK Rostock
Vorpommern-Rügen,Landkreis,224702,13073,LK ,LK Vorpommern-Rügen
Nordwestmecklenburg,Landkreis,157322,13074,LK ,LK Nordwestmecklenburg
Vorpommern-Greifswald,Landkreis,235623,13075,LK ,LK Vorpommern-Greifswald
Ludwigslust-Parchim,Landkreis,211779,13076,LK ,LK Ludwigslust-Parchim
Chemnitz,Kreisfreie Stadt,246334,14511,SK ,SK Chemnitz
Erzgebirgskreis,Landkreis,334948,14521,LK ,LK Erzgebirgskreis
Mittelsachsen,Landkreis,304099,14522,LK ,LK Mittelsachsen
Vogtlandkreis,Landkreis,225997,14523,LK ,LK Vogtlandkreis
Zwickau,Landkreis,315002,14524,LK ,LK Zwickau
Dresden,Kreisfreie Stadt,556780,14612,SK ,SK Dresden
Bautzen,Landkreis,299758,14625,LK ,LK Bautzen
Görlitz,Landkreis,252725,14626,LK ,LK Görlitz
Meißen,Landkreis,241717,14627,LK ,LK Meißen
Sächsische Schweiz-Osterzgebirge,Landkreis,245586,14628,LK ,LK Sächsische Schweiz-Osterzgebirge
Leipzig,Kreisfreie Stadt,593145,14713,SK ,SK Leipzig
Leipzig,Landkreis,258139,14729,LK ,LK Leipzig
Nordsachsen,Landkreis,197741,14730,LK ,LK Nordsachsen
Dessau-Roßlau,Kreisfreie Stadt,80103,15001,SK ,SK Dessau-Roßlau
Halle (Saale),Kreisfreie Stadt,238762,15002,SK ,SK Halle (Saale)
Magdeburg,Kreisfreie Stadt,237565,15003,SK ,SK Magdeburg
Altmarkkreis Salzwedel,Landkreis,83173,15081,LK ,LK Altmarkkreis Salzwedel
Anhalt-Bitterfeld,Landkreis,158486,15082,LK ,LK Anhalt-Bitterfeld
Börde,Landkreis,170923,15083,LK ,LK Börde
Burgenlandkreis,Landkreis,178846,15084,LK ,LK Burgenlandkreis
Harz,Landkreis,213310,15085,LK ,LK Harz
Jerichower Land,Landkreis,89589,15086,LK ,LK Jerichower Land
Mansfeld-Südharz,Landkreis,134942,15087,LK ,LK Mansfeld-Südharz
Saalekreis,Landkreis,183815,15088,LK ,LK Saalekreis
Salzlandkreis,Landkreis,189125,15089,LK ,LK Salzlandkreis
Stendal,Landkreis,111190,15090,LK ,LK Stendal
Wittenberg,Landkreis,124953,15091,LK ,LK Wittenberg
Erfurt,Kreisfreie Stadt,213981,16051,SK ,SK Erfurt
Gera,Kreisfreie Stadt,93125,16052,SK ,SK Gera
Jena,Kreisfreie Stadt,111343,16053,SK ,SK Jena
Suhl,Kreisfreie Stadt,36789,16054,SK ,SK Suhl
Weimar,Kreisfreie Stadt,65228,16055,SK ,SK Weimar
Eisenach,Kreisfreie Stadt,42250,16056,SK ,SK Eisenach
Eichsfeld,Landkreis,100006,16061,LK ,LK Eichsfeld
